GEN,treat,Block,yield,col,row
G1,Irrigated,B1,9.6,1,12
centinela,Irrigated,B1,7.6,1,11
G2,Irrigated,B1,6.9,1,10
G3,Irrigated,B1,8.4,1,9
G4,Irrigated,B1,8.5,1,8
G5,Irrigated,B1,7.1,1,7
check,Irrigated,B1,6.5,1,6
centinela,Irrigated,B1,7.8,1,5
G6,Irrigated,B1,7.7,1,4
G7,Irrigated,B1,7.4,1,3
G8,Irrigated,B1,8.5,1,2
G9,Irrigated,B1,10.8,1,1
check,Irrigated,B2,6.2,2,1
G4,Irrigated,B2,9.7,2,2
G5,Irrigated,B2,6.4,2,3
G3,Irrigated,B2,8.6,2,4
G8,Irrigated,B2,8,2,5
G6,Irrigated,B2,9.8,2,6
G1,Irrigated,B2,7.8,2,7
centinela,Irrigated,B2,8.2,2,8
G7,Irrigated,B2,5,2,9
G9,Irrigated,B2,8.6,2,10
G2,Irrigated,B2,7,2,11
centinela,Irrigated,B2,7.2,2,12
centinela,Irrigated,B3,8.2,3,12
G4,Irrigated,B3,10.8,3,11
G7,Irrigated,B3,7.4,3,10
check,Irrigated,B3,5.3,3,9
G8,Irrigated,B3,7.1,3,8
G5,Irrigated,B3,7.9,3,7
G2,Irrigated,B3,8,3,6
G9,Irrigated,B3,8.9,3,5
G1,Irrigated,B3,8.7,3,4
G3,Irrigated,B3,7.5,3,3
G6,Irrigated,B3,10.1,3,2
centinela,Irrigated,B3,8.6,3,1
centinela,drought,B1,3.8,5,1
G6,drought,B1,4.9,5,2
G9,drought,B1,5.4,5,3
G7,drought,B1,4.1,5,4
G3,drought,B1,4.3,5,5
G1,drought,B1,4.4,5,6
G2,drought,B1,2.7,5,7
centinela,drought,B1,3.5,5,8
G8,drought,B1,5.3,5,9
G4,drought,B1,5.3,5,10
check,drought,B1,2.4,5,11
G5,drought,B1,5.2,5,12
G1,drought,B2,5.7,6,12
centinela,drought,B2,4,6,11
G3,drought,B2,6,6,10
G8,drought,B2,5.7,6,9
centinela,drought,B2,4,6,8
check,drought,B2,2.4,6,7
G5,drought,B2,3.8,6,6
G2,drought,B2,3,6,5
G6,drought,B2,5.3,6,4
G9,drought,B2,5.4,6,3
G4,drought,B2,4.8,6,2
G7,drought,B2,2.7,6,1
G9,drought,B3,5.5,7,1
check,drought,B3,3.6,7,2
G6,drought,B3,4.7,7,3
centinela,drought,B3,4.7,7,4
G8,drought,B3,6.4,7,5
G3,drought,B3,4,7,6
G5,drought,B3,3.9,7,7
centinela,drought,B3,4.3,7,8
G7,drought,B3,4.1,7,9
G1,drought,B3,4.9,7,10
G4,drought,B3,5.9,7,11
G2,drought,B3,3.5,7,12
